title,price,availableQuantity,category
Wireless Bluetooth Headphones,129.99,45,Electronics
Smartphone Case,24.99,200,Electronics
USB-C Charging Cable,19.99,150,Electronics
Laptop Stand,89.99,30,Electronics
Gaming Mouse,79.99,60,Electronics
Coffee Maker,149.99,25,Home & Garden
Plant Pot Set,34.99,80,Home & Garden
LED Desk Lamp,69.99,40,Home & Garden
Throw Pillow,29.99,100,Home & Garden
Wall Clock,45.99,35,Home & Garden
Cotton T-Shirt,19.99,120,Clothing & Fashion
Denim Jeans,89.99,75,Clothing & Fashion
Running Shoes,119.99,50,Clothing & Fashion
Baseball Cap,24.99,90,Clothing & Fashion
Leather Wallet,59.99,65,Clothing & Fashion
Programming Book,49.99,30,Books & Media
Notebook Set,14.99,180,Books & Media
Pen Collection,24.99,95,Books & Media
Magazine Subscription,39.99,20,Books & Media
Art Supplies Kit,79.99,40,Books & Media
Water Bottle,24.99,110,Sports & Outdoors
Yoga Mat,59.99,55,Sports & Outdoors
Camping Backpack,149.99,20,Sports & Outdoors
Fitness Tracker,199.99,35,Sports & Outdoors
Bicycle Helmet,89.99,45,Sports & Outdoors